"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;;;;;;;;;;;;;;;;;;;
RASTA ROCKETT;TURTELTAUB Jon;1993;ETATS UNIS;2024;35;23;1,3;;;;;;;;;;;;;;;;;;;
TROIE;PETERSEN Wolfgang;2003;GRANDE BRETAGNE;2024;35;24;2,1;;;;;;;;;;;;;;;;;;;
ANGELIQUE ET LE ROY;BORDERIE Bernard;1965;FRANCE / ALLEMAGNE;2024;34;22;0,7;;;;;;;;;;;;;;;;;;;
MERVEILLEUSE ANGELIQUE;BORDERIE Bernard;1964;FRANCE / ALLEMAGNE;2024;34;14;0,7;;;;;;;;;;;;;;;;;;;
HOMME DE RIO (L');DE BROCA Philippe;1963;FRANCE / ITALIE;2021;34;9;0,6;;;;;;;;;;;;;;;;;;;
ARME FATALE (L');DONNER Richard;1987;ETATS UNIS;2024;34;17;1,0;;;;;;;;;;;;;;;;;;;
GREASE;KLEISER Randal;1978;ETATS UNIS;2024;34;20;0,9;;;;;;;;;;;;;;;;;;;
GRANDES VACANCES (LES);GIRAULT Jean;1967;FRANCE;2024;34;23;0,8;;;;;;;;;;;;;;;;;;;
ANGELIQUE ET LE SULTAN;BORDERIE Bernard;1967;FRANCE / ALLEMAGNE;2024;34;16;0,7;;;;;;;;;;;;;;;;;;;
GENDARME DE SAINT TROPEZ (LE);GIRAULT Jean;1964;FRANCE / ITALIE;2024;34;23;0,7;;;;;;;;;;;;;;;;;;;
GRAND BAZAR (LE);ZIDI Claude;1973;FRANCE;2024;34;19;0,8;;;;;;;;;;;;;;;;;;;
AVENTURIERS (LES);ENRICO Robert;1966;FRANCE;2024;34;10;0,7;;;;;;;;;;;;;;;;;;;
MARGINAL (LE);DERAY Jacques;1983;FRANCE;2024;34;23;0,9;;;;;;;;;;;;;;;;;;;
DERNIER DOMICILE CONNU;GIOVANNI José;1969;FRANCE / ITALIE;2023;34;17;0,7;;;;;;;;;;;;;;;;;;;
ARME FATALE II (L');DONNER Richard;1989;ETATS UNIS;2024;34;20;1,1;;;;;;;;;;;;;;;;;;;
JUMANJI;JOHNSTON Joe;1995;ETATS UNIS;2024;34;19;1,4;;;;;;;;;;;;;;;;;;;
FORREST GUMP;ZEMECKIS Robert;1993;ETATS UNIS;2023;34;22;1,3;;;;;;;;;;;;;;;;;;;
BAD BOYS FLICS DE CHOCS;BAY Michael;1994;ETATS UNIS;2024;34;18;1,4;;;;;;;;;;;;;;;;;;;
ANGES GARDIENS (LES);POIRE Jean-Marie;1994;FRANCE;2023;34;23;1,3;;;;;;;;;;;;;;;;;;;
WASABI;KRAWCZYK Gérard;2001;FRANCE;2023;34;22;1,7;;;;;;;;;;;;;;;;;;;
PALAIS ROYAL;LEMERCIER Valérie;2004;FRANCE / GRANDE BRETAGNE;2024;34;23;2,1;;;;;;;;;;;;;;;;;;;
DIDIER;CHABAT Alain;1996;FRANCE;2024;34;26;1,4;;;;;;;;;;;;;;;;;;;
LEON;BESSON Luc;1993;FRANCE;2024;34;21;1,3;;;;;;;;;;;;;;;;;;;
TAXI 3;KRAWCZYK Gérard;2001;FRANCE;2024;34;20;1,8;;;;;;;;;;;;;;;;;;;
PISCINE (LA);DERAY Jacques;1968;FRANCE / ITALIE;2024;33;12;0,7;;;;;;;;;;;;;;;;;;;
TINTIN ET LE MYSTERE DE LA TOISON D OR;VIERNE Jean-Jacques;1961;FRANCE;2019;33;16;0,6;;;;;;;;;;;;;;;;;;;
LUCKY LUKE DAISY TOWN;GOSCINNY René;1970;FRANCE;2024;33;12;0,8;;;;;;;;;;;;;;;;;;;
NE NOUS FACHONS PAS;LAUTNER Georges;1965;FRANCE;2018;33;19;0,6;;;;;;;;;;;;;;;;;;;
PEUR SUR LA VILLE;VERNEUIL Henri;1974;FRANCE;2024;33;18;0,8;;;;;;;;;;;;;;;;;;;
ROBIN DES BOIS PRINCE DES VOLEURS;REYNOLDS Kevin;1990;GRANDE BRETAGNE;2024;33;22;1,1;;;;;;;;;;;;;;;;;;;
INSPECTEUR LABAVURE;ZIDI Claude;1980;FRANCE;2024;33;22;0,8;;;;;;;;;;;;;;;;;;;
VIENS CHEZ MOI J HABITE CHEZ...;LECONTE Patrice;1980;FRANCE;2024;33;23;0,8;;;;;;;;;;;;;;;;;;;
ROIS MAGES (LES);BOURDON Didier;2001;FRANCE;2024;33;25;1,7;;;;;;;;;;;;;;;;;;;
BILLY ELLIOT;DALDRY Stephen;2000;GRANDE BRETAGNE;2024;33;23;1,7;;;;;;;;;;;;;;;;;;;
MAMMA MIA;LLOYD Phyllida;2007;GRANDE BRETAGNE;2024;33;19;2,5;;;;;;;;;;;;;;;;;;;
FLIC DE BEVERLY HILLS 3 (LE);LANDIS John;1993;ETATS UNIS;2023;33;20;1,2;;;;;;;;;;;;;;;;;;;
PLACARD (LE);VEBER Francis;2000;FRANCE;2023;33;22;1,6;;;;;;;;;;;;;;;;;;;
TOUR DU MONDE EN 80 JOURS (LE);CORACI Frank;2004;GRANDE BRETAGNE;2022;33;22;2,1;;;;;;;;;;;;;;;;;;;
GREMLINS;DANTE Joe;1984;ETATS UNIS;2024;32;17;0,9;;;;;;;;;;;;;;;;;;;
GENDARME A NEW YORK (LE);GIRAULT Jean;1965;FRANCE / ITALIE;2024;32;22;0,7;;;;;;;;;;;;;;;;;;;
CRIME DE L ORIENT EXPRESS (LE);LUMET Sidney;1974;GRANDE BRETAGNE;2024;32;15;0,7;;;;;;;;;;;;;;;;;;;
RAMBO III;MacDONALD Peter;1988;ETATS UNIS;2024;32;18;1,0;;;;;;;;;;;;;;;;;;;
UN PONT TROP LOIN;ATTENBOROUGH Richard;1977;ETATS UNIS;2024;32;20;0,8;;;;;;;;;;;;;;;;;;;
COURSE A L ECHALOTE (LA);ZIDI Claude;1975;FRANCE;2024;32;16;0,7;;;;;;;;;;;;;;;;;;;
COUP DU PARAPLUIE (LE);OURY Gérard;1980;FRANCE;2023;32;15;0,8;;;;;;;;;;;;;;;;;;;
CANONS DE NAVARONE (LES);LEE THOMPSON Jack;1960;GRANDE BRETAGNE;2023;32;14;0,7;;;;;;;;;;;;;;;;;;;
OSCAR;MOLINARO Edouard;1967;FRANCE;2022;32;19;0,7;;;;;;;;;;;;;;;;;;;
GENDARME SE MARIE (LE);GIRAULT Jean;1968;FRANCE / ITALIE;2024;32;22;0,7;;;;;;;;;;;;;;;;;;;
POUIC POUIC;GIRAULT Jean;1963;FRANCE;2023;32;13;0,6;;;;;;;;;;;;;;;;;;;
INDOMPTABLE ANGELIQUE 1ERE EPOQUE;BORDERIE Bernard;1967;FRANCE / ALLEMAGNE;2022;32;16;0,6;;;;;;;;;;;;;;;;;;;
GUERRE DES BOUTONS (LA);ROBERT Yves;1961;FRANCE;2017;32;15;0,8;;;;;;;;;;;;;;;;;;;
TEMPS MODERNES (LES);CHAPLIN Charles;1935;ETATS UNIS;2021;32;9;0,5;;;;;;;;;;;;;;;;;;;
MISERABLES (LES);DREYFUS Jean-Paul;1957;FRANCE / Italie;2016;32;12;0,6;;;;;;;;;;;;;;;;;;;
ROBIN DES BOIS - RIDLEY SCOTT -;SCOTT Ridley;2010;GRANDE BRETAGNE;2024;32;19;2,7;;;;;;;;;;;;;;;;;;;
TAIS-TOI;VEBER Francis;2002;FRANCE / ITALIE;2024;32;22;1,9;;;;;;;;;;;;;;;;;;;
TRANSPORTEUR (LE);LETERRIER Louis;2002;FRANCE;2024;32;21;1,7;;;;;;;;;;;;;;;;;;;
MEN IN BLACK II;SONNENFELD Barry;2002;ETATS UNIS;2024;32;20;1,7;;;;;;;;;;;;;;;;;;;
SISTER ACT;ARDOLINO Emile;1992;ETATS UNIS;2024;32;18;1,1;;;;;;;;;;;;;;;;;;;
LARGO WINCH;SALLE Jerome;2008;FRANCE;2024;32;21;2,5;;;;;;;;;;;;;;;;;;;
HOOK;SPIELBERG Steven;1991;ETATS UNIS;2024;32;19;1,1;;;;;;;;;;;;;;;;;;;
IRON MAN;FAVREAU John;2007;ETATS UNIS;2024;32;21;2,5;;;;;;;;;;;;;;;;;;;
BOSSU - PHILIPPE DE BROCA - (LE);DE BROCA Philippe;1997;FRANCE;2024;32;19;1,3;;;;;;;;;;;;;;;;;;;
HISTOIRE SANS FIN (L');PETERSEN Wolfgang;1984;ALLEMAGNE;2024;31;18;0,9;;;;;;;;;;;;;;;;;;;
QUELQUES MESSIEURS TROP TRANQUILLES;LAUTNER Georges;1972;FRANCE;2019;31;14;0,7;;;;;;;;;;;;;;;;;;;
DEUX HOMMES DANS LA VILLE;GIOVANNI José;1973;FRANCE / ITALIE;2020;31;13;0,7;;;;;;;;;;;;;;;;;;;
ALI BABA ET LES 40 VOLEURS;BECKER Jacques;1954;FRANCE;2022;31;11;0,5;;;;;;;;;;;;;;;;;;;
